"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","lr","epoch_dice coefficient","epoch_loss"
"generous-sky-58","finished","-","dagutman","","2023-09-15T22:04:46.000Z","3249","","8","40","0.001676462357902869","0.974856882631424","0.003977653466992908"
"splendid-tree-91","finished","-","dagutman","","2023-09-15T23:14:26.000Z","1634","","8","20","0.0010013805734218758","0.9686480618987524","0.002614739920116133"
"pious-breeze-99","finished","-","dagutman","","2023-09-15T23:46:30.000Z","1819","","8","20","0.000027753200667271845","0.9681800021314144","0.002384877642961564"
"flowing-durian-51","finished","-","dagutman","","2023-09-15T21:48:45.000Z","2754","","8","30","0.00006729469800869331","0.9674080030455818","0.0026969679251865105"
"frosty-star-30","finished","-","dagutman","","2023-09-15T20:56:46.000Z","2172","","8","40","0.00007096128334087474","0.9671846809027989","0.002172016107511741"
"restful-disco-47","finished","-","dagutman","","2023-09-15T21:39:48.000Z","1827","","8","20","0.0001999296557727756","0.966694518585458","0.002396710561933341"
"gallant-vortex-74","finished","-","dagutman","","2023-09-15T22:36:04.000Z","1961","","6","20","0.00004380663870375509","0.9664568425557988","0.0033836916468485637"
"clean-snowball-106","finished","-","dagutman","","2023-09-16T00:05:18.000Z","1841","","8","20","0.00026032332545464194","0.9659489875188606","0.0022547981115402997"
"wobbly-wind-69","finished","-","dagutman","","2023-09-15T22:27:39.000Z","3375","","8","40","0.00024153582402582","0.965532430034204","0.002193612356980642"
"icy-grass-23","finished","-","dagutman","","2023-09-15T20:56:10.000Z","1937","","6","20","0.000011220572517468529","0.9654517381778236","0.0032355394904260283"
"exalted-morning-81","finished","-","dagutman","","2023-09-15T22:59:05.000Z","2519","","6","40","0.0003344156944838018","0.9632705195704676","0.002925426837194849"
"lively-wind-17","finished","-","dagutman","","2023-09-15T20:56:08.000Z","1939","","6","20","0.0003184194528623719","0.9623313645167396","0.002932720076016806"
"ancient-dawn-111","finished","-","dagutman","","2023-09-16T00:14:52.000Z","2949","","8","40","0.00012749289958581813","0.9618820873828056","0.0028381754333774247"
"true-hill-82","finished","-","dagutman","","2023-09-15T23:02:32.000Z","3659","","8","40","0.00001147671417371248","0.9617307039170272","0.002602455878837241"
"electric-snowflake-52","finished","-","dagutman","","2023-09-15T21:53:57.000Z","2776","","8","30","0.0001344218645992347","0.9608495644271756","0.0021408427575672112"
"mild-violet-65","finished","-","dagutman","","2023-09-15T22:20:13.000Z","2739","","8","30","0.00022781007050953157","0.9608361062909824","0.0020631487584776348"
"clear-pyramid-110","finished","-","dagutman","","2023-09-16T00:13:40.000Z","2130","","6","30","0.0006426236967924575","0.9607632538886368","0.0029307378938904513"
"fresh-aardvark-101","finished","-","dagutman","","2023-09-15T23:52:43.000Z","2724","","8","30","0.00010921442146756194","0.9607055131611606","0.0022366001719125997"
"pleasant-smoke-48","finished","-","dagutman","","2023-09-15T21:47:01.000Z","2244","","6","30","0.0003494099924649254","0.9605523534390714","0.0031492695971219627"
"confused-shape-16","finished","-","dagutman","","2023-09-15T20:56:08.000Z","3081","","8","40","0.000045679283438451455","0.960344256754","0.0022394727329137147"
"stilted-field-80","finished","-","dagutman","","2023-09-15T22:55:03.000Z","3451","","8","40","0.0000105513656618075","0.960300947601092","0.0029274272490982657"
"noble-lion-87","finished","-","dagutman","","2023-09-15T23:07:50.000Z","1483","","8","40","0.0003289548322626032","0.960221665645446","0.0024862750778319657"
"different-haze-32","finished","-","dagutman","","2023-09-15T20:57:15.000Z","2977","","6","40","0.000022563809961260833","0.9600203828030854","0.003004019217634642"
"iconic-forest-89","finished","-","dagutman","","2023-09-15T23:11:28.000Z","3796","","6","40","0.000721594648649196","0.9598580119557872","0.0029831021955167808"
"sunny-wildflower-79","finished","-","dagutman","","2023-09-15T22:46:04.000Z","3616","","8","40","0.005920043830345651","0.9598437132890448","0.002897424347422741"
"copper-violet-37","finished","-","dagutman","","2023-09-15T21:24:28.000Z","2913","","6","30","0.023658553349773032","0.9590934153226496","0.003653416996476827"
"sandy-smoke-98","finished","-","dagutman","","2023-09-15T23:41:49.000Z","3622","","8","40","0.005457428034586476","0.9586257254069772","0.002624794237177681"
"polar-plant-53","finished","-","dagutman","","2023-09-15T21:56:55.000Z","1800","","8","20","0.00030592608626776933","0.9584200749511708","0.002235620748251677"
"hardy-vortex-45","finished","-","dagutman","","2023-09-15T21:32:17.000Z","3286","","6","40","0.00024444710438000736","0.9582956186106052","0.00315020259262787"
"sparkling-donkey-100","finished","-","dagutman","","2023-09-15T23:50:27.000Z","2712","","8","30","0.00004274190740513635","0.9577229988196114","0.0024211200437060107"
"glowing-field-95","finished","-","dagutman","","2023-09-15T23:29:26.000Z","3916","","6","40","0.028835801840039584","0.9576797038177016","0.0032819048329084007"
"northern-glade-109","finished","-","dagutman","","2023-09-16T00:10:12.000Z","1815","","8","20","0.020021869713914016","0.9565078010230323","0.003161296300176117"
"olive-lion-29","finished","-","dagutman","","2023-09-15T20:56:46.000Z","1835","","8","20","0.000279614252976407","0.956366599803103","0.00242775771766901"
"mild-spaceship-97","finished","-","dagutman","","2023-09-15T23:41:13.000Z","1938","","6","20","0.0002744066957874411","0.9561253209457828","0.002866431242889828"
"unique-star-60","finished","-","dagutman","","2023-09-15T22:13:11.000Z","1364","","8","40","0.002336898805836485","0.9560241951710542","0.004181666610141595"
"royal-pond-67","finished","-","dagutman","","2023-09-15T22:27:02.000Z","2696","","8","30","0.0997933798736872","0.9558160061954556","0.0031944195119043193"
"genial-snowball-44","finished","-","dagutman","","2023-09-15T21:29:09.000Z","2741","","8","30","0.00008869715540246726","0.9556739094589564","0.0022354949679639605"
"fluent-totem-90","finished","-","dagutman","","2023-09-15T23:12:06.000Z","2639","","8","30","0.0064904064522086895","0.9547210881843246","0.002811625599861145"
"misunderstood-water-107","finished","-","dagutman","","2023-09-16T00:05:33.000Z","3279","","6","40","0.012429503517002432","0.954051204976464","0.003326355220956934"
"bright-hill-35","finished","-","dagutman","","2023-09-15T20:57:35.000Z","3552","","8","40","0.03621546547885505","0.9530782925775814","0.0030268157004482215"
"distinctive-sound-55","finished","-","dagutman","","2023-09-15T21:59:25.000Z","1832","","8","20","0.002126334873822752","0.9528147254035108","0.002798304548142133"
"logical-bush-96","finished","-","dagutman","","2023-09-15T23:32:41.000Z","2784","","8","30","0.010248432424290936","0.9527639644162884","0.008825656526756508"
